96cb,d4e7
19542df,1fa52ad
1307a41,1e983f9
125738b,1fe19c9
368d7b1,3f2a917
3a7fae9,3bba20f
2a0945b,3b85d07
20bf5cd,2410e61
39996b5,3f7787f
26ac8bf,2a02e97
25aa929,2cfc20f
3429407,3ef33d1
286a795,36bb1e7
2335865,2d2f465
280276d,2b8729d
2c716af,2d27151
243d745,2466e23
38dc2ad,3ea83f3
32cc651,33eb913
3a05d97,3a7132f
2b41f37,3249a45
3af710b,3df865b
291c3af,3afb2a5
2108047,22bc845
466ff07,691baf9
41b4473,430b3b5
468e881,58c2c17
6d390f7,78e2be5
5de6305,7a8841b
534c7f7,741cb5d
6129ea5,7dc810f
5711521,66d67b9
60d0ab3,71b723d
5a9802d,6230f15
710ee7d,760cbdf
4d0716f,7453e95
50a0e69,7f242df
4cd991b,548cf9f
51ec8a3,60bd845
87f0697,ef11a0b
c760d99,e960a7d
8b6514b,a1621bd
86cad69,e2d1c37
9ebbe41,f00baa7
80bdbdf,996665b
c49495f,cdc038d
8126efd,e4f8c95
9efcf27,ecaa625
82fa819,c331171
c12709f,d4e7b21
950b993,f120cf1
b1fbce9,e13f49f
d7b895b,f29a611
88e11fb,a4e149b
19aec2f1,1d1c1ea1
18964ebb,1b6b9371
134aa819,1811a22d
14e6f64b,1db26cdf
18c10663,1f63ff09
1e7c7d59,1e89b97f
10225ee3,1db42dd5
10e202f3,14937c9b
1348356d,13a74f25
110db827,1cbacd0f
26b1de87,2c81d277
25a611e5,36bd7c93
29200d29,341a9475
346df051,36999bc3
2eb1f85b,3bb2709d
2c717a6b,38e63d6f
290209cf,301e0e93
319a4c2b,3e8b4a6f
26af0dcf,33a96ff1
25ee04c1,2e1cf4a9
5c5e4bcd,76d19cf1
60e72a9d,78608195
5b510c4b,7a7638d5
486e6207,6867cbef
53351fc5,599400bb
45082633,55a5d0ff
4fe80fe1,62ab10bb
6cbe6d95,714e2957
475a17ff,745dd8fb
4fe1ddb5,7d0d929b
d0809115,d3f400fb
93f74969,a5048cb9
dd35f94b,fa573301
8c280607,bcf007cb
c8bc7263,fbcaf3a1
ca0e58db,f8cefa89
b1a48db9,db310d89
a6b3af3d,ac40b5d1
9e865d33,e282b313
94084bfd,fdaabcff
